dba_name,community_areas,census_tracts,no_of_violations,crime_count
"epic burger, inc",37.0,670.0,3.857142857142857,27.714285714285715
epic catering inc.,52.0,787.0,3.0,4.0
epiphany restaurant,68.0,794.0,7.0,8.0
epples restaurant,29.0,97.0,11.0,24.75
eppys cafe deli,38.0,92.0,3.0,22.5
erick taco,6.0,225.0,4.0,3.0
erick tacos,6.0,225.0,7.333333333333333,4.833333333333333
ericksons delicatessen,76.0,564.0,15.0,3.0
erie cafe,37.0,652.0,8.8,28.6
erik deli,33.5,232.0,5.666666666666667,22.333333333333332
erik deli soup barz,38.0,92.0,3.0,19.0
eriks deli,68.0,210.0,3.5,17.0
ermel,36.0,656.0,4.0,3.0
esencia urban kitchen,57.0,169.0,1.8,13.2
esperanza kitchen delights,34.0,374.0,3.0,2.0
espressamente illy/cityfront cafe,37.0,159.0,10.0,23.0
esquina del sabor catrocho,19.0,304.0,10.0,9.666666666666666
essence med spa wellness center,12.0,782.0,3.0,1.0
essence of india,6.0,665.0,6.6,4.8
estadio grill,76.0,537.0,6.25,5.75
estar bien 2,63.0,6.0,1.0,10.0
estate ultra bar,25.0,109.0,3.0,29.0
estrella negra,23.0,240.0,4.375,17.125
eternity juice bar deli,67.0,475.0,3.0,23.0
ethiopian diamond ii restaurant inc.,10.0,489.0,7.857142857142857,10.142857142857142
ethiopian diamond restaurant,76.0,536.0,9.0,7.333333333333333
etno village grill,68.0,769.0,3.0,12.0
eto'o,8.0,499.0,12.0,5.0
eurest dining,37.0625,210.5,3.8125,32.8125
eurest dining service @ albany bank trust,14.0,750.0,3.1666666666666665,6.166666666666667
eurest dining services,36.84615384615385,224.76923076923077,3.4358974358974357,27.256410256410255
eurest dining services @ cch,13.0,748.0,3.5,2.0
"eurest dining services @ drinker, biddle reath llp",38.0,92.0,1.8333333333333333,25.666666666666668
eurest dining services @ quaker oats,29.0,786.0,1.5714285714285714,23.571428571428573
eurest dining services @ safer foundation,28.0,36.0,2.8333333333333335,13.833333333333334
eurest dining services @ usg,29.0,786.0,1.5294117647058822,23.11764705882353
eurest dining services at cafe 300,37.0,670.0,6.166666666666667,30.0
euro cafe',17.0,396.0,5.4,4.2
europa galleria inc,37.0,652.0,10.0,14.0
european chalet,53.0,588.0,2.6666666666666665,4.833333333333333
"eva coffee, inc.",37.0,290.0,4.666666666666667,31.333333333333332
evelyn,7.0,164.0,13.0,9.0
evergreen restaurant,35.0,3.0,4.8,3.2
everybody coffee,31.0,20.0,4.333333333333333,8.666666666666666
evita argentinian steakhouse,13.0,747.0,6.333333333333333,1.3333333333333333
evolve bistro,37.0,652.0,2.0,32.666666666666664
ewduard corporation,31.0,633.0,6.166666666666667,11.833333333333334
ex libris science digest coffee,8.0,154.0,3.75,4.0
excelsior garden,11.0,129.0,4.857142857142857,4.142857142857143
exchequer restaurant,38.0,367.0,9.8,26.0
express cafe,22.0,71.0,5.0,6.666666666666667
express cafe inc,22.0,71.0,14.0,7.0
express grill inc,31.666666666666668,199.0,3.2222222222222223,11.666666666666666
expression lavazza,37.0,105.0,2.4285714285714284,27.285714285714285
ey cafe,25.0,301.0,3.0,27.0
fabcakes,37.0,652.0,4.833333333333333,25.166666666666668
fado irish pub,37.0,670.0,4.125,26.5
fahlstrom fresh fish market,57.0,741.0,10.333333333333334,20.333333333333332
fairfield and suites chicago downtown river north,37.0,670.0,2.2,28.0
fairfield inn suites - downtown chicago,37.0,158.0,0.6666666666666666,25.333333333333332
fairways,68.0,168.0,3.5,8.5
"falafel dream, inc.",17.0,392.0,6.6,5.2
falafel express,38.0,367.0,4.0,30.0
falafel grill,25.0,482.0,4.142857142857143,18.285714285714285
falafel island,38.0,367.0,5.0,29.75
falafel shawarma corner,37.0,148.0,8.666666666666666,27.0
falafill,53.833333333333336,669.5,4.5,17.333333333333332
falco pizza,55.0,196.0,6.333333333333333,6.666666666666667
fame,25.0,476.0,3.0,20.0
family den,44.0,491.0,7.0,4.5
famous dutch pancake huis,6.0,665.0,2.4,6.2
famous grill,70.0,532.0,2.0,17.0
fanfares catering,45.0,555.0,5.8,20.6
fannie famous fried chicken homemade biscuits,40.0,11.0,7.0,14.0
fannie may confections #152,38.0,580.0,2.25,22.75
fannie schmoe bakery,15.0,259.0,7.333333333333333,9.0
fanny may candies,38.0,580.0,1.6,23.0
fantasea,6.0,106.0,4.0,12.0
fantastic ice cream,62.0,265.0,3.0,2.0
"far east kitchen,llc",10.0,358.0,7.428571428571429,11.142857142857142
farmer fridge,38.0,92.0,4.0,31.5
farmhouse,37.0,652.0,7.5,30.666666666666668
fast and fresh,57.0,692.0,3.0,18.0
fast burrito,16.0,23.0,7.2,9.4
fast entertainment inc,16.0,328.0,5.0,6.666666666666667
fast food el mexicano,64.0,344.0,3.8333333333333335,20.0
fast super buritto,46.0,622.0,5.571428571428571,4.142857142857143
fast track ltd,29.0,784.0,2.8333333333333335,23.5
fast wok,23.0,322.0,4.25,11.5
fat albert,65.0,283.0,3.8,18.2
fat baby tacos,37.0,670.0,2.0,28.0
fat cat,31.0,633.0,3.2,8.6
fat chris pizza and such,76.0,564.0,7.0,10.0
fat daddy grill inc.,28.0,176.0,7.0,16.0
fat eddie employee cafeteria,38.0,580.0,1.6666666666666667,25.333333333333332
fat johnnies red hots,64.0,333.0,6.0,13.0
fat pour,25.0,476.0,0.5,23.5
fat rice,23.0,548.0,6.25,16.0
fat tommy inc,73.0,256.0,4.333333333333333,2.3333333333333335
fat willy rib shack,23.0,240.0,6.0,15.4
fatboys,10.0,340.0,11.0,7.0
father perez k of c club house,73.0,369.0,1.0,1.0
father son pizzeria ltd,23.0,549.0,6.0,12.0
father son pizzeria north,37.0,108.0,8.0,34.0
fatpour,25.0,476.0,5.5,21.5
fatso,25.0,541.0,10.0,18.5
favela restaurant,54.0,697.0,5.166666666666667,3.3333333333333335
favorite cafe,14.0,750.0,6.333333333333333,7.0
feast,25.0,179.0,5.333333333333333,19.0
federales,29.0,63.0,5.0,31.0
fedora lounge,37.0,670.0,8.666666666666666,22.0
feed,24.0,177.0,5.833333333333333,26.666666666666668
felice roman style pizza,10.0,267.0,5.833333333333333,9.666666666666666
fennel iris,57.0,742.0,5.25,13.25
ferajna restaurant,17.0,396.0,5.0,4.0
fernando restaurant,57.0,239.0,6.25,14.5
"ferrero u.s.a., inc.",38.0,580.0,2.5,20.0
ferro,35.0,346.0,2.2,3.8
festa pizzaria,23.0,550.0,3.0,25.0
festa pizzeria inc.,23.0,550.0,3.75,10.75
ffc west loop,29.0,786.0,3.0,36.5
"fft at sabw, llc",38.0,92.0,4.125,29.0
fft cafe,38.0,92.0,2.5555555555555554,26.333333333333332
"fft401, llc",37.0,159.0,5.666666666666667,26.666666666666668
"fft@350, llc",37.0,652.0,3.7142857142857144,22.285714285714285
fft@tribune llc,37.0,159.0,6.6,25.6
fiesole restaurant,37.0,104.0,3.0,30.0
"fiesta burger heaven, inc.",70.0,573.0,4.333333333333333,20.666666666666668
fiesta grill,26.0,61.0,5.75,43.75
fiesta magica,21.0,76.0,2.5,4.5
fiesta mexicana corp,31.0,633.0,4.4,10.6
fiesta mexicana restaurant,68.0,769.0,7.166666666666667,13.333333333333334
fiesta tapatia,32.0,203.0,8.0,11.5
fiesta wash laundromat,59.0,740.0,2.0,13.0
fig olive,37.0,104.0,4.333333333333333,26.666666666666668
filipino american council,57.0,650.0,3.5,16.0
filippo,68.0,210.0,7.666666666666667,15.666666666666666
filonek,36.0,656.0,3.6666666666666665,7.0
filter coffee lounge,25.0,482.0,7.166666666666667,16.166666666666668
fin sushi bar,31.0,559.0,4.571428571428571,12.571428571428571
fina estampa peru inc.,19.0,303.0,2.0,10.0
fine carribean dining,4.0,447.0,14.0,10.0
finley dunne,57.0,239.0,3.6666666666666665,12.666666666666666
finley mahony,57.0,726.0,6.5,18.666666666666668
fiorelli pizza,29.0,63.0,7.0,25.0
fiorentino,57.0,712.0,5.0,16.0
fire jerk,59.0,84.0,7.0,11.5
firecakes,37.0,670.0,3.8,25.4
firefin poke shop,38.0,92.0,1.5,32.5
firehouse captain hooks,50.0,198.33333333333334,8.333333333333334,20.333333333333332
firehouse grill,26.0,61.0,3.5,49.25
"firehouse of dan ryan, inc.",40.0,1.0,7.0,18.0
firehouse subs,38.0,92.0,2.5,26.5
firenze- italian street food,29.0,784.0,9.0,20.0
fireplace inn,37.0,290.0,5.0,25.0
"fireside pub, inc",76.0,538.0,3.5,6.5
fireside tavern and grill,76.0,538.0,9.666666666666666,8.0
firewater saloon,77.0,654.0,4.5,2.0
firewater saloon mount greenwood,73.0,369.0,15.0,2.0
first church of love and faith,70.0,574.0,3.0,21.0
first draft,38.0,12.0,4.6,22.8
"first slice, llc",31.0,576.0,6.0,11.833333333333334
fish  n go,14.0,117.0,3.4,6.4
fish makers inc,70.0,533.0,4.5,28.0
fish market inc.,45.0,570.0,3.5,22.0
fishbar,57.0,680.0,3.6,17.0
fisherman island,42.333333333333336,106.0,5.666666666666667,21.833333333333332
"fishing  cat , inc",20.0,31.0,11.0,13.0
"fitfresh, inc.",6.0,106.0,2.0,9.0
fitness formula club,37.0,108.0,3.25,27.25
fitness formula clubs - gold coast,37.0,310.0,5.166666666666667,29.0
fitness formula clubs - halsted street,57.0,731.0,1.0,13.0
fitness formula clubs - union station,29.0,786.0,2.0,21.0
fitness formula clubs-south loop,38.0,368.0,2.6666666666666665,21.666666666666668
"fittingly delicious, llc",16.0,326.0,2.0,6.0
five faces ice cream shop inc,37.0,17.0,4.6,24.0
five guys burger fries,38.0,368.0,1.4,24.0
five guys burgers and fries,33.0,372.0,3.3,11.4
five guys burgers fries,49.714285714285715,451.0,2.4285714285714284,15.857142857142858
five loaves eatery too,67.0,496.0,7.857142857142857,18.0
five star bar grill,25.0,484.0,4.0,21.0
five star burger,74.0,378.0,3.5,5.0
fizz bar grill,57.0,742.0,10.5,19.5
flaco tacos,48.7,86.3,4.1,21.6
"flaco tacos, llc",38.0,12.0,3.5,19.166666666666668
flagship tavern grill,57.0,742.0,3.5,13.25
flaming wok grill,37.0,108.0,16.0,42.0
flamingo bar grill,37.0,534.0,4.0,21.333333333333332
flamingo cafe,53.0,587.0,3.4,7.2
flamingo rum club,37.0,670.0,3.0,43.0
flash taco southshore,39.0,453.0,3.0,15.5
flat top grill,43.92307692307692,439.84615384615387,4.538461538461538,20.692307692307693
flavor 180,34.0,374.0,6.0,3.0
flavor shack,20.0,53.0,5.0,17.0
flavor southern cooking,26.0,671.0,2.0,39.5
"flecks coffee company, inc.",40.0,406.0,9.0,14.0
fleming prime steakhouse winebar,37.0,626.0,3.5,25.666666666666668
fletcher jones audi,25.0,109.0,1.0,17.0
flik international corp.,57.0,729.0,3.5,13.5
flip crepes,29.0,784.0,2.625,24.875
flirty cupcakes,25.166666666666668,183.33333333333334,3.6666666666666665,19.166666666666668
flirty girl fitness,68.0,798.0,2.5,13.0
flirty girl fitness chicago,29.0,63.0,2.0,18.0
flo,25.0,484.0,5.0,17.5
flo santo,34.0,374.0,5.2,2.8
flour and water,57.0,679.0,9.0,15.0
flour stone,37.0,159.0,4.0,24.0
floyd pub,23.0,373.0,3.6,14.0
flub a dub chub,57.0,683.0,5.571428571428571,14.428571428571429
flying chicken,14.0,24.0,7.5,8.5
flying saucer,25.0,543.0,6.6,29.6
flying wok inc.,9.0,332.0,13.333333333333334,12.0
"fogata village, inc",33.0,343.0,6.142857142857143,6.714285714285714
fogo de chao churrascaria (chicago) llc,37.0,670.0,3.3333333333333335,26.666666666666668
fogo to go,57.0,681.0,10.0,12.5
folklore,25.0,517.0,2.6,17.4
fon fon,69.0,243.0,3.0,11.5
fon fon chinese cuisine,69.0,243.0,5.4,5.8
fon fon chinese cusine,69.0,243.0,9.0,7.0
fonda dona chio,10.0,49.0,4.666666666666667,9.0
fonseca nutrision,59.0,677.0,4.0,13.0
fontano foods,29.0,87.0,5.2,29.6
fontano sub,71.0,629.0,7.333333333333333,3.3333333333333335
fontano subs,49.0,454.3333333333333,4.777777777777778,15.666666666666666
food express restaurant,1.0,446.0,10.0,8.5
food first chicago,22.0,425.0,4.0,5.333333333333333
"food life/lettuce off prem, ca",37.0,233.0,7.333333333333333,27.833333333333332
food xpress,1.0,446.0,3.6666666666666665,6.333333333333333
foodstuffs gourmet sausages salads,37.0,652.0,1.0,23.0
"forastero, llc",37.0,309.0,17.0,42.0
forbidden root,25.0,518.0,4.666666666666667,27.333333333333332
forever yogurt,39.57142857142857,337.7142857142857,3.5714285714285716,17.333333333333332
forever yogurt 001,57.0,211.0,5.0,16.0
fork,6.0,667.0,7.0,5.2
formento,29.0,63.0,6.333333333333333,28.333333333333332
fornello trattoria,57.0,83.0,5.5,11.0
fornetto mei corner,37.0,104.0,10.0,36.0
fornetto-mei on grant,38.0,368.0,6.0,25.571428571428573
forno rosso,17.0,444.0,6.833333333333333,3.8333333333333335
forno rosso on randolph,29.0,63.0,3.5,26.75
forum 55,38.0,367.0,5.666666666666667,26.77777777777778
forza,68.0,769.0,11.5,12.5
foss food trucks,29.0,96.0,3.0,28.0
fountain head,6.0,225.0,6.285714285714286,5.142857142857143
four belly,57.0,731.0,3.6666666666666665,15.0
four belly ramen and sushi,57.0,731.0,5.0,9.0
four farthings tavern grill,68.0,745.0,9.25,10.25
four moon tavern,46.0,648.0,6.166666666666667,5.0
four points by sheraton chicago downtown,37.0,626.0,1.5,25.5
four shadows,68.0,743.0,7.833333333333333,14.333333333333334
four star lounge,68.0,769.0,3.0,8.0
fox beverly pub,71.0,661.0,8.2,2.6
fragola yogurt and ice cream,15.0,361.0,0.5,10.0
fran beef,33.0,270.0,5.5,7.166666666666667
frances' rest deli inc,68.0,794.0,8.285714285714286,11.428571428571429
francesca bryn mawr,76.0,145.0,7.285714285714286,7.142857142857143
francesca cafe,25.0,476.0,3.8333333333333335,20.5
francesca forno,25.0,481.0,6.0,19.333333333333332
francesca on chestnut,37.0,233.0,5.666666666666667,34.666666666666664
francesca on taylor,29.0,758.0,5.833333333333333,26.333333333333332
francis w. parker school,68.0,207.0,3.0,4.0
franco ristorante,35.0,375.0,2.6666666666666665,2.6666666666666665
franconello,71.0,661.0,4.5,2.1666666666666665
frank chicago shrimp house,55.0,640.0,2.3333333333333335,8.333333333333334
"frank chicago shrimp house, inc.",15.0,259.0,3.0,8.0
frank pizzeria,17.0,396.0,3.8,5.2
frank rib place inc.,26.0,695.0,6.0,32.0
frank tap grill,48.0,526.0,2.0,2.0
frankie pizza by the slice,37.0,534.0,1.0,28.25
frankie scaloppine,37.0,104.0,5.0,18.0
franklin room,37.0,652.0,4.0,30.6
franks 'n' dawgs,68.0,168.0,5.333333333333333,7.0
frannie cafe,38.0,368.0,5.25,23.0
frasca,57.0,742.0,2.8,18.2
fraternite notre dame inc,26.0,672.0,2.0,52.0
fred at barneys new york,37.0,104.0,6.6,26.0
fred jack el gran burrito,67.0,495.0,2.8333333333333335,18.333333333333332
freddies,58.0,149.0,4.0,6.0
fredy inn,22.0,467.0,4.166666666666667,6.833333333333333
freehand chicago,37.0,626.0,5.666666666666667,40.0
fremont bar,37.0,669.0,5.5,28.0
french accent,38.0,92.0,10.2,22.4
frente al sol,55.0,640.0,14.0,7.0
fresco sweets snacks inc.,20.0,320.0,11.0,13.0
fresco tacos,74.0,663.0,1.0,7.0
fresh 82 llc,13.0,747.0,5.0,4.0
fresh off the grill,30.0,33.0,4.0,27.0
fresha place,38.0,92.0,0.0,23.0
freshii,37.855555555555554,378.73333333333335,4.7444444444444445,25.5
freshii 1871,37.0,652.0,4.5,29.5
freshii restaurant,38.0,420.25,2.25,24.25
fried rice express,36.0,699.0,14.8,3.2
friends of washburne culinary institute,38.0,92.0,3.6,23.0
friends sushi,37.0,626.0,4.0,28.833333333333332
friends sushi on state/friends ramen,37.0,230.0,2.0,29.5
friendship on the lake,38.0,159.0,12.0,29.0
friendship restaurant,22.0,55.0,8.333333333333334,4.666666666666667
frietkoten,29.0,784.0,2.3333333333333335,22.444444444444443
frisco double eagle stea,37.0,104.0,4.4,22.0
frite street,38.0,92.0,4.5,28.5
fritzy of lincoln park,68.0,273.0,21.0,22.0
fro-yo-n-things,1.0,353.0,2.0,11.0
frog n snail,57.0,682.0,6.5,15.75
front yard jerk grille,68.0,505.3333333333333,3.6666666666666665,16.666666666666668
frontera grill/topolobambo,37.0,670.0,9.0,20.4
froyo,37.0,669.0,2.0,25.0
froyo chicago cafe,57.0,724.0,3.0,13.0
froyo chicago corporation,38.0,580.0,4.5,30.0
fruit paradise,22.0,425.0,4.0,9.0
fruitd'licious,21.0,135.0,10.0,7.0
"fruitmania, inc.",15.0,259.0,1.3333333333333333,9.0
frutyland,14.0,24.0,5.0,7.222222222222222
fruve express juicery,29.0,63.0,11.0,22.5
ft fast food,25.0,481.0,8.333333333333334,13.666666666666666
ft wicker park,25.0,481.0,8.5,20.0
fuel station,68.0,101.0,3.0,14.0
fuh,68.0,798.0,6.333333333333333,8.0
full shilling,57.0,691.0,8.142857142857142,17.571428571428573
fullerton restaurant,23.0,240.0,5.142857142857143,12.285714285714286
fullwest bp gas subway,23.0,324.0,5.5,10.0
fulton market kitchen,29.0,63.0,9.0,19.0
fulton on the river,37.0,670.0,3.0,23.0
fumare meats,29.0,784.0,2.3333333333333335,23.333333333333332
fumare meats and deli,29.0,784.0,3.25,22.75
fun fun chinese,29.0,63.0,1.0,26.0
fun ol' cakes inc.,55.0,639.0,3.0,9.0
fun wash,33.0,204.0,3.6666666666666665,4.0
fung chop suey,5.0,450.0,2.6666666666666665,3.0
fungs international cuisine,10.0,66.0,5.8,8.8
furama restaurant inc,31.0,633.0,7.8,10.4
furious  spoon,38.0,92.0,2.5,20.0
furious spoon,39.833333333333336,528.6666666666666,8.833333333333334,15.333333333333334
fushing co,72.0,593.0,5.0,7.2
fusion poke,37.0,233.0,5.0,29.0
futatsuki ramen,31.0,241.0,3.0,12.5
g cue billiards,29.0,63.0,6.166666666666667,28.833333333333332
g n p h #eleven inc,23.0,107.0,5.0,8.333333333333334
g n p h #nine inc,16.0,295.0,5.5,9.666666666666666
g n p h #two inc,31.0,559.0,6.2,8.6
g n snack shop,26.0,523.0,11.2,51.8
g o,25.0,521.0,4.0,24.6
"g.n.p.h. #eight, inc.",19.0,303.0,6.0,17.428571428571427
g.t.s.,13.0,748.0,6.833333333333333,2.0
"gabby smokin grillz, inc.",27.0,659.0,6.0,22.0
gaby  pizza   grill,55.0,639.0,1.6,10.0
gage park food,64.0,183.0,5.4,20.0
gala banquets,11.0,701.0,2.4,4.0
galapagos cafe,14.0,120.0,5.428571428571429,7.285714285714286
galata llc,29.0,97.0,3.3333333333333335,31.0
gale street inn,11.0,129.0,5.0,2.3333333333333335
galileo,34.0,374.0,4.833333333333333,5.833333333333333
galleria marchetti,25.0,522.0,5.666666666666667,19.166666666666668
gallery bar,37.0,670.0,2.0,9.0
galvin public house,15.0,94.0,8.4,9.4
galway arms,68.0,185.0,9.285714285714286,11.428571428571429
gamekeepers,68.0,271.0,5.8,9.8
gannon pub,46.0,623.0,4.8,6.0
garcia inc,18.5,637.5,6.375,8.375
garden chop suey,40.0,11.0,3.6666666666666665,17.666666666666668
garden fast food,51.0,10.0,8.0,3.6666666666666665
"garden grill mexican cuisine, inc.",23.0,386.0,6.0,14.0
garden of eden mediterranean restaurant,20.0,32.0,5.714285714285714,7.857142857142857
garden terrace,15.0,131.0,2.4,12.0
garfield gyros,59.0,686.0,4.428571428571429,12.571428571428571
gargoyle cafe,8.0,154.0,3.0,5.75
gari sushi asian bistro,25.0,476.0,5.333333333333333,20.666666666666668
garifuna flava caribbean restaurant,64.0,111.0,2.7142857142857144,16.0
garlic chili thai cuisine,37.0,290.0,2.6666666666666665,26.833333333333332
garrett popcorn shops,36.891891891891895,360.2162162162162,3.189189189189189,24.91891891891892
gaslight bar grille,68.0,185.0,4.6,12.4
gaslight coffee roasters,23.0,322.0,3.8,12.2
gateway foundation residential,27.0,702.0,3.8333333333333335,14.833333333333334
gateway foundation-kedzie cent,24.0,390.0,4.666666666666667,25.5
gateway to learning special ed,6.0,28.0,2.0,6.6
gather chicago,6.0,667.0,3.0,6.0
gaudi cafe,25.0,522.0,9.333333333333334,20.0
gaudi coffee grill,25.0,520.0,5.5,24.0
gayle best ever grilled cheese,38.0,92.0,2.4,29.4
gaylord india restaurant,37.0,104.0,7.833333333333333,30.0
gbd cakes and sweets,23.0,324.0,4.75,15.0
geb,29.0,63.0,5.0,19.0
geja cafe,68.0,207.0,5.5,13.75
"gelatina cris restaurant, inc.",53.0,606.0,4.5,6.5
gelatina cris#2,53.0,606.0,4.0,7.0
gelatinas cris,63.0,6.0,8.0,8.0
gelato greco,25.0,109.0,2.0,22.5
gemini bistro,68.0,745.0,4.8,15.0
gen hoe,24.0,177.0,9.0,19.0
general growth management inc,38.0,92.0,1.6,28.8
genesis on the avenue,26.0,672.0,8.0,46.0
geo pizza inc,18.0,397.0,3.0,2.0
george,53.0,173.0,10.0,8.0
george carryouts,64.0,349.0,3.4,17.0
george grill kabab inc,14.0,750.0,5.5,4.5
george hot dog,23.0,178.0,4.666666666666667,12.0
george hot dogs,32.0,146.0,9.0,12.0
george restaurant,58.0,171.0,4.2,5.0
george street pub,57.0,681.0,6.6,12.6
georges ice cream sweets,76.0,564.0,5.0,8.0
georgia food depot,66.0,511.0,6.333333333333333,16.666666666666668
georgios on division,37.0,230.0,13.0,23.4
georgis catering,62.0,337.0,6.4,4.0
gepade caffe,38.0,367.0,2.5,26.333333333333332
germania place,37.0,100.0,5.714285714285714,25.857142857142858
gertie ice cream inc,63.0,318.0,4.75,5.75
"get it 'n go, llc",9.0,332.0,5.0,15.0
get off the couch catering: dia de los tamales,33.0,250.0,2.875,5.5
ghareeb nawaz express,29.0,97.0,10.333333333333334,28.666666666666668
ghirardelli chocolate co,37.0,626.0,0.0,43.0
ghirardelli chocolate shop soda fountain,37.0,104.0,2.5,24.25
gianna pizza,44.0,490.0,4.0,4.0
giant,23.0,387.0,5.0,14.5
gibsons italia,29.0,784.0,4.0,34.0
gibsons steak house,37.0,104.0,3.6666666666666665,27.0
gideon sweet,29.0,63.0,9.0,29.0
gideon welles,6.0,667.0,9.666666666666666,6.0
gigio pizza,31.0,241.0,6.166666666666667,9.333333333333334
gilhooley,73.0,316.0,9.0,2.0
gilhooley grande saloon,73.0,316.0,4.666666666666667,1.0
gilt bar/doughnut  vault,37.0,652.0,7.0,30.5
gina chicken,49.0,602.0,2.3333333333333335,3.8333333333333335
gino east,57.0,679.0,4.0,12.0
gino east of chicago,38.0,92.0,5.5,30.0
gino east pizzeria,37.0,158.0,9.2,23.4
gino north pizzeria,76.0,46.0,2.5,7.625
ginza restaurant,37.0,626.0,8.0,28.0
gio,58.0,688.0,1.8333333333333333,4.333333333333333
gio on 31st st authentic mexican food inc,58.0,223.0,1.5,4.5
gio sports bar,6.0,106.0,6.8,5.8
gioco,34.0,374.0,6.2,2.0
giordano,77.0,654.0,7.5,1.5
giordano andersonville,76.0,540.0,3.6666666666666665,10.666666666666666
giordano greektown,29.0,97.0,4.0,24.5
giordano of beverly,71.0,629.0,1.8333333333333333,2.6666666666666665
giordano of greektown,29.0,97.0,5.333333333333333,31.0
giordano of lincoln square,6.0,667.0,3.0,6.571428571428571
giordano of logan square,22.0,55.0,2.125,5.25
giordano of prudential plaza,38.0,580.0,7.0,30.8
giordano on belmont,57.0,710.0,3.5555555555555554,16.22222222222222
giordano on jackson,38.0,92.0,4.5,29.5
giordano on rush,37.0,626.0,4.333333333333333,25.833333333333332
giordano on sheridan,10.0,47.0,4.875,9.75
giordano pizza,17.166666666666668,387.5,2.9166666666666665,8.25
giordano restaurant,50.2,488.3,2.7,3.7
giorginos pizza,62.0,266.0,5.0,3.75
giovanni pizza,18.0,397.0,4.0,2.5
girl the goat,29.0,63.0,3.8,29.4
give me some sugah,39.0,142.0,5.25,23.25
glaze teriyaki grill,57.0,682.0,2.25,14.75
glazed and infused,41.94117647058823,260.1764705882353,3.8823529411764706,21.294117647058822
"glazed and infused, llc",38.0,92.0,4.0,30.0
glenn diner,6.0,225.0,4.333333333333333,5.5
global kitchen,74.0,379.0,2.0,7.0
gloria jeans coffee,38.0,367.0,4.5,18.0
go 4 food inc.,35.0,3.0,4.333333333333333,2.8333333333333335
go go restaurant,64.0,111.0,14.0,16.0
go roma italian kitchen,37.0,230.0,2.5,28.0
go-go white sox grill,53.0,86.0,4.0,5.333333333333333
gobble doggs,38.0,92.0,0.0,36.0
goddess and the baker,38.0,257.0,5.2,28.4
godfather pizza,31.0,611.0,2.6,11.2
godiva chocolatier,38.0,92.0,4.8,23.8
"godiva chocolatier, inc",38.0,92.0,5.0,24.0
gogi nara,20.0,30.0,8.333333333333334,10.5
"gogo dogs, llc",25.0,544.0,3.0,18.0
gold coast dogs,41.63157894736842,417.57894736842104,4.631578947368421,15.157894736842104
gold coast pizza company,37.0,230.0,4.5,32.5
"golden angel restaurant, inc.",46.0,623.0,6.0,8.0
golden apple cafe bakery,35.0,3.0,5.6,3.2
golden apple restaurant,57.0,679.0,6.0,13.6
golden chef chinese kitchen,24.0,390.0,7.25,23.75
golden crown restaurant,19.0,77.0,4.5,18.0
golden crust pizzeria,14.0,24.0,12.333333333333334,7.0
golden fish,5.0,398.0,3.5714285714285716,2.4285714285714284
golden fish chicken,69.0,634.1666666666666,3.1666666666666665,5.166666666666667
golden fish chicken 1,64.0,182.0,2.0,19.0
golden gate,55.0,639.0,3.0,8.5
golden grain bakery and donuts corporation,14.0,750.0,6.333333333333333,7.333333333333333
golden heart restaurant,55.0,156.0,4.4,7.8
"golden hook fish, chicken, steak beef, inc.",26.0,696.0,7.0,37.0
"golden hook fish,chicken, steak",26.0,673.0,3.0,62.0
golden horse carriage cafe,35.0,346.0,4.5,4.5
golden house restaurant,31.0,611.0,5.714285714285714,11.714285714285714
golden nugget,16.0,23.0,4.8,10.4
golden teardrops,23.0,294.0,12.5,17.0
golden thai,29.0,758.0,3.8333333333333335,24.166666666666668
golden tiara ltd,15.0,115.0,2.0,8.0
golden wok corporation,11.0,701.0,3.0,2.0
golden wok restaurant,11.0,701.0,4.666666666666667,2.6666666666666665
goldies,46.0,644.0,0.0,1.0
gomez tacos rest,42.0,175.0,6.8,10.4
good foods health center llc,39.0,452.0,4.0,19.0
good foods vegan vegetarian,39.0,452.0,3.0,21.25
good stuff eatery,38.0,367.0,4.0,28.0
good to go jamaican cuisine llc,10.0,52.0,6.666666666666667,8.833333333333334
goodhart group corp.,34.0,374.0,1.6,7.4
goodie tacos,58.0,676.0,3.5,2.5
goodwin,38.0,92.0,5.0,29.0
goodwin restaurant,38.0,92.0,5.75,31.0
googoo table,21.0,75.0,4.0,2.75
goose island beer co,24.0,177.0,1.5,20.5
goose island beer company,29.0,579.0,9.0,26.0
goose island brewing co,68.0,168.0,9.8,9.8
goose island shrimp house inc,37.0,108.0,4.2,23.0
goose island wrigleyville,57.0,211.0,6.333333333333333,18.666666666666668
goosefoot,6.0,28.0,0.6,4.6
gordillas,32.0,227.0,8.0,10.0
gorditas adrian,52.0,787.0,17.0,3.0
gorditas la tia,62.0,336.0,3.8333333333333335,2.6666666666666665
gorditas la tia susy,56.0,2.0,9.0,4.0
gorditas la tia suzy estilo durango,56.0,2.0,1.0,7.0
gorditas loli inc,49.0,602.0,2.6666666666666665,2.3333333333333335
gorditas salazar,55.0,196.0,1.0,7.0
gorditas santiago,63.0,238.0,3.1666666666666665,6.0
gorditas santiago no. 2,60.0,792.0,7.0,1.0
gordo,38.0,12.0,6.0,19.0
gordo tamales,61.0,764.0,3.6666666666666665,10.333333333333334
gorilla sushi,20.2,245.6,7.2,6.0
gorilla sushi bar on clark,31.0,611.0,7.25,8.0
gosu,23.0,468.0,5.833333333333333,11.5
