dba_name,community_areas,census_tracts,no_of_violations,crime_count
"ace coffee bar, inc.",54.0,563.0,3.4,3.6
ace hotel chicago,29.0,63.0,8.0,34.0
ace icre wood street,29.0,5.0,2.6,24.2
acme hotel company/the berkshire,37.0,626.0,3.8,23.0
acre/ombra,76.0,564.0,9.0,6.333333333333333
ada street,25.0,109.0,4.5,27.5
adobe gila,37.0,108.0,6.0,32.0
adobo grill,52.5,280.5,3.25,16.75
adriatic,76.0,540.0,6.0,6.666666666666667
advocate illinois masonic medical center,57.0,681.0,2.25,14.0
afc sushi @ cafe 300,37.0,670.0,1.6666666666666667,25.0
afc sushi @ dominick # 12,76.0,213.0,1.0,6.0
afc sushi @ dominick # 1875,29.0,784.0,1.0,26.0
afc sushi @ dominick #1147,29.0,97.0,1.0,34.0
afc sushi @ dominick 2889,6.0,29.0,0.0,5.0
afc sushi @ dominick 2890,76.0,93.0,0.5,9.5
afc sushi @ dominicks # 2984,20.0,320.0,3.0,14.0
afc sushi @ dominicks 1100,56.0,192.0,1.0,4.0
afc sushi @ jewel osco #2500,29.0,97.0,0.8571428571428571,24.0
afc sushi @ jewel osco #2508,10.0,489.0,0.2857142857142857,9.142857142857142
afc sushi @ jewel osco #3224,17.0,442.0,4.666666666666667,3.0
afc sushi @ jewel osco#2502,68.0,743.0,3.3333333333333335,11.333333333333334
afc sushi @ lurie childrens hospital,37.0,158.0,1.6666666666666667,31.666666666666668
afc sushi @ marshall fields,38.0,580.0,3.25,17.5
afc sushi @ university center,38.0,367.0,0.6,25.6
afc sushi @ walgreen #15281,57.0,684.0,0.3333333333333333,12.166666666666666
afc sushi @ walgreens #15065,25.0,179.0,0.8,20.2
afc sushi @ walgreens #15196,38.0,580.0,2.2857142857142856,22.0
afc sushi @ women prentice hospital,37.0,158.0,0.0,25.0
afc sushi@dominick #1113,36.0,657.0,1.0,2.0
afc sushi@jewel-osco #3241,25.0,482.0,1.625,16.25
afc sushi@university of chicago,8.0,154.0,4.0,5.0
afcsushi@northwestern memorial hospital,37.0,158.0,2.5,24.5
afghan kabob,14.0,257.0,3.6666666666666665,6.166666666666667
afternoon,68.0,185.0,4.0,16.0
agami japanese restaurant,31.0,241.0,4.666666666666667,9.333333333333334
agees pizzeria grill,31.0,241.0,9.0,10.0
aha crepe,68.0,101.0,9.0,13.5
ahjoomah apron corp.,35.0,3.0,6.0,2.6
ain't she sweet cafe beverly,71.0,661.0,1.5,3.5
aint she sweet cafe,4.0,583.0,3.0,11.142857142857142
ajawaah sweets,20.0,31.0,4.666666666666667,6.333333333333333
aje cafe,57.0,684.0,2.3333333333333335,17.833333333333332
aka oni,57.0,682.0,4.0,11.0
al bar b que,4.0,393.0,3.0,20.0
al beef,32.47222222222222,560.0833333333334,3.361111111111111,16.416666666666668
al beef restaurant,37.0,670.0,2.0,27.333333333333332
al italian beef inc,29.0,87.0,4.375,22.75
al khyam restaurant,14.0,118.0,9.0,6.0
al pizza,15.0,131.0,5.333333333333333,7.0
al pizza chicago,15.0,131.0,5.0,8.0
al under the l,28.0,50.0,5.4,18.8
ala too central asian and turkish restaurant,57.0,712.0,2.0,16.0
alaska paleteria y nevena 2,14.0,118.0,4.0,8.0
alaska paleteria y neveria,16.0,23.0,2.0,8.0
alba restaurant,25.0,519.0,6.0,22.5
alberto pizza,10.0,66.0,4.125,12.125
alboes,53.0,587.0,2.0,5.0
alcatraces,54.0,698.0,2.5,2.5
alcoiris inc,21.0,135.0,4.428571428571429,4.0
alegra,19.0,80.0,7.75,15.25
alegria seafood,25.0,518.0,8.0,23.0
alexander restaurant,76.0,537.0,6.625,5.875
alexandra cafe shop,36.0,657.0,3.0,2.0
alexs hamburgers,16.0,372.0,3.5,9.5
alhambra palace restaurant,29.0,63.0,5.833333333333333,27.5
ali bbq restaurant,20.0,31.0,6.0,9.0
alibaba cafe,14.0,751.0,6.142857142857143,6.0
alibaba retro,36.0,699.0,4.2,4.2
alice bar b que,4.0,393.0,4.333333333333333,12.0
alice restaurant,26.0,644.5,6.75,43.25
alicia  tamales,61.0,112.0,5.666666666666667,5.666666666666667
alinea restaurant llc,68.0,273.0,3.5,12.166666666666666
all seaysoned,37.0,159.0,3.0,25.5
all stars on wells,38.0,92.0,6.0,21.0
all style buffet,54.0,563.0,11.4,2.6
allende restaurant,68.0,769.0,5.0,14.285714285714286
allende restaurant #2,68.0,798.0,5.857142857142857,10.285714285714286
alley dogs inc,46.0,110.0,2.6666666666666665,5.666666666666667
alliance patisserie,37.0,626.0,4.0,25.0
"almaida, inc.",16.0,269.0,7.0,7.666666666666667
aloft hotel chicago city center,37.0,670.0,1.3333333333333333,22.333333333333332
aloha grill hawaiian bbq inc.,68.0,794.0,5.714285714285714,11.571428571428571
aloha poke,43.6,590.8,7.0,21.4
aloha poke belmont llc,57.0,681.0,3.0,12.5
aloha poke llc,29.0,784.0,3.3333333333333335,20.666666666666668
"aloha poke loyola, llc",10.0,48.0,9.0,14.0
aloha wagon,29.0,96.0,6.0,21.0
alonti cafe,38.0,92.0,6.333333333333333,25.0
alonti deli,33.2,462.1333333333333,6.6,26.2
altiro,46.0,614.0,2.5,4.25
alulu,33.0,365.0,2.0,7.5
always thai,46.0,644.0,4.111111111111111,3.888888888888889
am thai restaurant,14.0,24.0,5.0,7.0
amalfi hotel,37.0,669.0,3.25,20.0
amani,22.0,465.0,4.5,6.5
amarind restaurant,26.0,598.0,5.2,40.2
amarit restaurant,38.0,12.0,5.875,22.75
amato pizzeria,26.0,598.0,7.285714285714286,44.857142857142854
amatos pizza,68.0,168.0,5.857142857142857,12.428571428571429
ambassador chicago hotel and restaurant,37.0,308.0,7.0,34.0
ambassador public house,29.0,91.0,7.666666666666667,27.666666666666668
amc dine-in theatres block 37,38.0,92.0,3.8,33.8
amc theatres 600 north michigan 9,37.0,626.0,3.5,26.75
amc theatres ford city 14,63.0,318.0,4.333333333333333,5.0
amc theatres galewood 14,26.0,596.0,4.0,50.0
amc theatres river east 21,37.0,159.0,3.75,29.75
ameer kabob,25.0,484.0,10.125,24.375
amelia authentic mexican cuisine,59.0,123.0,5.75,16.0
america dog,38.0,418.2307692307692,3.4615384615384617,27.615384615384617
american accord food corporation,49.0,705.0,4.333333333333333,3.8333333333333335
american girl place,37.0,233.0,2.0,24.666666666666668
american junkie,37.0,669.0,4.0,22.0
american medical association,37.0,626.0,3.0,18.0
american restaurant,28.0,737.0,6.5,16.5
american wildburger,33.8,378.4,5.8,22.6
americana submarine,38.0,92.0,7.428571428571429,31.857142857142858
americanos,74.0,314.0,9.0,1.0
ameritalia,34.0,374.0,2.6666666666666665,3.6666666666666665
amk kitchen bar,23.0,209.0,10.5,10.5
amorino chicago,37.0,230.0,5.5,34.0
"amorino water tower, llc",37.0,233.0,1.0,21.0
ampersand restaurant,6.0,106.0,2.5,8.5
amstar fuel mini mart,42.0,508.0,13.0,9.0
amzi,57.0,682.0,3.0,12.0
analogue,23.0,549.0,3.0,17.0
"anatolia kitchen bakery, inc.",57.0,683.0,6.0,11.0
ancole popeye inc,74.0,663.0,3.6666666666666665,7.0
andiamo restaurant pizzaria inc.,57.0,681.0,9.0,13.0
andies restaurant,76.0,540.0,4.714285714285714,6.571428571428571
andies restaurant ii,57.0,650.0,5.0,14.75
andorka sandwich shop,33.0,250.0,2.6666666666666665,3.3333333333333335
andrzej grill inc,25.0,542.0,4.0,10.0
andy cafe,24.0,454.0,5.5,25.0
andy coffee shop,6.0,620.0,3.0,4.0
andy thai kitchen,57.0,681.0,9.0,19.0
andy thai kitchen ii,76.0,536.0,2.0,2.0
andys 11 east lounge,37.0,626.0,6.166666666666667,22.666666666666668
angel food ltd,31.0,576.0,5.0,13.0
"angel restaurant, inc.",29.0,90.0,8.5,25.166666666666668
angela burrito style,68.0,794.0,4.333333333333333,14.0
angelina ristorante,57.0,692.0,5.4,15.0
angelo pizza,14.0,258.0,6.6,6.6
angelo stuffed pizza corp,54.0,697.0,7.0,4.2
angie,69.0,197.0,4.166666666666667,6.0
angry crab,25.0,481.0,1.0,22.0
ani,57.0,712.0,3.0,13.5
animale,23.0,180.0,3.0,14.0
anita gumbo,41.0,133.0,3.25,4.5
anixter center,68.0,210.0,3.0,13.0
anmol restaurant,20.0,40.0,8.666666666666666,9.333333333333334
ann sather cafe,57.0,169.0,3.75,13.875
ann sather restaurant,59.375,663.375,5.625,11.875
ann sather restaurant granville,76.0,46.0,4.444444444444445,6.333333333333333
anna asian bistro,29.0,63.0,3.0,34.0
anna asian grill sushi bar,46.0,622.0,5.75,6.25
anna maria pasteria,31.0,576.0,3.6,8.4
anna purana fast food,20.0,41.0,10.75,8.25
anna sushi corporation,37.0,534.0,1.0,27.0
annette italian ice,68.0,744.0,1.5,12.5
annoyance productions,57.0,681.0,2.6666666666666665,15.0
anong inc.,23.0,548.0,5.25,15.0
anteprima,76.0,564.0,5.428571428571429,6.714285714285714
anthony,57.0,239.0,3.0,23.0
anthony d grill,26.0,695.0,5.428571428571429,37.0
antica pizzeria,76.0,539.0,5.5,8.5
antico,23.0,373.0,2.25,17.5
antique taco,25.0,481.0,6.166666666666667,19.166666666666668
antique taco bridgeport,58.0,171.0,7.666666666666667,4.333333333333333
antique taco chiquito,38.0,92.0,0.5,26.5
anto pizza chicago,10.0,357.0,2.0,4.0
antojitos colombianos,15.0,259.0,3.5,8.5
antojitos majicos,14.0,750.0,3.5,6.5
antojitos majicos la michoacan,14.0,750.0,23.0,7.0
antojitos mexicanos,10.0,49.0,2.0,10.0
antojitos pueblita inc,14.0,119.0,12.0,5.0
antojitos tapatios el tradicio,49.0,715.0,4.0,1.0
antonios cafe and restaurant,73.0,264.0,3.0,1.0
aodake asian bistro,31.0,559.0,7.0,10.0
ap deli 15,4.0,447.0,6.0,6.0
apart pizza company chicago,63.142857142857146,575.0,5.142857142857143,4.714285714285714
apollo 2000,32.0,203.0,3.6666666666666665,13.0
applebee neighborhood grill bar,53.0,277.55555555555554,5.555555555555555,3.7777777777777777
aquarius club restaurant,23.0,107.0,6.333333333333333,13.5
aquitaine,68.0,798.0,4.0,11.5
ara on,38.0,92.0,4.714285714285714,23.142857142857142
arabesk cafe inc,14.0,119.0,10.0,8.0
aramark,24.060606060606062,289.06060606060606,3.696969696969697,19.515151515151516
aramark @ ameritech,38.0,92.0,4.0,25.0
aramark @ information resources,29.0,784.0,4.0,24.125
aramark @ loyola denobili,76.0,212.0,5.0,5.5
aramark @ loyola green,76.0,212.0,3.3333333333333335,6.0
aramark @ north park,13.0,167.0,5.0,3.5
aramark at boeing,29.0,784.0,4.285714285714286,25.142857142857142
aramark at deloitte,38.0,92.0,8.0,37.0
aramark at draftfcb,37.0,626.0,11.0,22.0
aramark at sweetheart cup,63.0,318.0,3.0,6.666666666666667
aramark corporation,29.0,784.0,0.5,21.0
"aramark educational services, inc",37.0,104.0,2.5,26.75
"aramark educational services, inc.",37.333333333333336,191.66666666666666,3.3333333333333335,23.5
"aramark educational services, llc",10.0,267.0,5.0,12.0
aramark food court,8.0,154.0,2.5,7.5
aramark loyola damen,10.0,267.0,10.2,10.0
aramark nuveen investments cafe,38.0,92.0,4.0,31.428571428571427
aramark services  inc-  harris bank,38.0,92.0,2.5,24.0
aramark services @ harris bank,38.0,92.0,1.5,24.0
"aramark services, inc",63.0,318.0,4.2,7.4
aramark-field museum,34.0,374.0,4.6,5.2
aramark-freshii,23.0,240.0,8.0,15.0
aramark-freshii store# 1889,38.0,12.0,3.0,25.5
aramark-soldier field,34.0,374.0,31.0,8.833333333333334
aramark@ loyola simpson  residential,76.0,212.0,4.714285714285714,5.857142857142857
aramark@loyola halas cafe,10.0,267.0,5.0,16.0
aramarl-freshii,68.0,794.0,7.0,17.0
arami,25.0,519.0,5.6,19.8
arami go!,37.0,159.0,2.0,22.0
arami/woodgrain,53.0,86.0,0.0,8.0
arbella,37.0,670.0,10.0,37.0
arbor,23.0,240.0,9.5,10.5
arby,37.0,652.0,2.0,24.666666666666668
"arby /sba,ltd",38.0,92.0,2.3333333333333335,25.833333333333332
arby roast beef,69.0,571.0,3.5,7.75
arbys,32.9375,481.25,3.75,24.25
